script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
scheduler,C,10000,,,2025-01-09 12:42:34.612088,2025-01-09 12:42:34.683785
scheduler,F,10000,,,2025-01-09 12:42:34.611677,2025-01-09 12:42:34.683810
scheduler,H,10000,,,2025-01-09 12:42:34.611386,2025-01-09 12:42:34.677338
scheduler,E,10000,,,2025-01-09 12:42:34.610981,2025-01-09 12:42:34.683850
scheduler,B,10000,,,2025-01-09 12:42:34.610354,2025-01-09 12:42:34.682898
scheduler,G,10000,,,2025-01-09 12:42:34.610301,2025-01-09 12:42:34.676764
scheduler,D,10000,,,2025-01-09 12:42:34.610300,2025-01-09 12:42:34.678978
scheduler,A,10000,,,2025-01-09 12:42:34.508492,2025-01-09 12:42:34.513545
scheduler,ALL,,,,2025-01-09 12:42:34.508492,2025-01-09 12:42:34.683850

