script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,ALL,,,,2025-01-09 07:51:31.912636,2025-01-09 07:51:56.864606
parallel execute,H-1,6422,AAARnYAAAAAAb/QAAA,AAARnYAAAAAAf+BH//,2025-01-09 07:51:53.834447,2025-01-09 07:51:53.840564
parallel execute,H,,,,2025-01-09 07:51:53.824029,2025-01-09 07:51:56.864252
parallel execute,H-2,3578,AAARnYAAAAAAf+CAAA,AAARnYAAAAAAf+fH//,2025-01-09 07:51:53.840897,2025-01-09 07:51:53.841997
parallel execute,G-1,6407,AAARnXAAAAAAb/IAAA,AAARnXAAAAAAf85H//,2025-01-09 07:51:50.794252,2025-01-09 07:51:50.800694
parallel execute,G,,,,2025-01-09 07:51:50.784304,2025-01-09 07:51:53.823978
parallel execute,G-2,3593,AAARnXAAAAAAf86AAA,AAARnXAAAAAAf9XH//,2025-01-09 07:51:50.801030,2025-01-09 07:51:50.802160
parallel execute,F-1,6420,AAARnWAAAAAAb/AAAA,AAARnWAAAAAAf7xH//,2025-01-09 07:51:47.753632,2025-01-09 07:51:47.760574
parallel execute,F,,,,2025-01-09 07:51:47.744063,2025-01-09 07:51:50.784231
parallel execute,F-2,3580,AAARnWAAAAAAf7yAAA,AAARnWAAAAAAf8PH//,2025-01-09 07:51:47.760910,2025-01-09 07:51:47.762074
parallel execute,E-1,6433,AAARnVAAAAAAb+4AAA,AAARnVAAAAAAf6pH//,2025-01-09 07:51:44.713908,2025-01-09 07:51:44.720655
parallel execute,E,,,,2025-01-09 07:51:44.704025,2025-01-09 07:51:47.744002
parallel execute,E-2,3567,AAARnVAAAAAAf6qAAA,AAARnVAAAAAAf7HH//,2025-01-09 07:51:44.721037,2025-01-09 07:51:44.722395
parallel execute,D-1,6415,AAARnUAAAAAAb+wAAA,AAARnUAAAAAAcDhH//,2025-01-09 07:51:41.673662,2025-01-09 07:51:41.680147
parallel execute,D,,,,2025-01-09 07:51:41.664168,2025-01-09 07:51:44.703976
parallel execute,D-2,3585,AAARnUAAAAAAcDiAAA,AAARnUAAAAAAcD/H//,2025-01-09 07:51:41.680482,2025-01-09 07:51:41.681477
parallel execute,C-1,6423,AAARnTAAAAAAb+oAAA,AAARnTAAAAAAcCpH//,2025-01-09 07:51:38.633757,2025-01-09 07:51:38.640307
parallel execute,C,,,,2025-01-09 07:51:38.624311,2025-01-09 07:51:41.664119
parallel execute,C-2,3577,AAARnTAAAAAAcCqAAA,AAARnTAAAAAAf3/H//,2025-01-09 07:51:38.640636,2025-01-09 07:51:38.641983
parallel execute,B-1,6424,AAARnSAAAAAAb+IAAA,AAARnSAAAAAAf3RH//,2025-01-09 07:51:35.603618,2025-01-09 07:51:35.609897
parallel execute,B,,,,2025-01-09 07:51:35.594078,2025-01-09 07:51:38.624254
parallel execute,B-2,3576,AAARnSAAAAAAf3SAAA,AAARnSAAAAAAf3vH//,2025-01-09 07:51:35.610260,2025-01-09 07:51:35.611448
parallel execute,A,,,,2025-01-09 07:51:31.912636,2025-01-09 07:51:35.594020
parallel execute,A-1,6430,AAARnRAAAAAACfwAAA,AAARnRAAAAAAcEBH//,2025-01-09 07:51:32.487658,2025-01-09 07:51:32.495694
parallel execute,A-2,3570,AAARnRAAAAAAcECAAA,AAARnRAAAAAAf2nH//,2025-01-09 07:51:32.497322,2025-01-09 07:51:32.498734
