script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
sequential,ALL,,,,2025-01-06 17:14:20.981524,2025-01-06 17:14:21.016693
sequential,H,10000,,,2025-01-06 17:14:21.012513,2025-01-06 17:14:21.016667
sequential,G,10000,,,2025-01-06 17:14:21.008364,2025-01-06 17:14:21.012496
sequential,F,10000,,,2025-01-06 17:14:21.003676,2025-01-06 17:14:21.008347
sequential,E,10000,,,2025-01-06 17:14:20.999232,2025-01-06 17:14:21.003660
sequential,D,10000,,,2025-01-06 17:14:20.994885,2025-01-06 17:14:20.999215
sequential,C,10000,,,2025-01-06 17:14:20.990297,2025-01-06 17:14:20.994869
sequential,B,10000,,,2025-01-06 17:14:20.985820,2025-01-06 17:14:20.990280
sequential,A,10000,,,2025-01-06 17:14:20.981524,2025-01-06 17:14:20.985788

