script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,A,6566,AAARpbAAAAAAiSQAAA,AAARpbAAAAAAiTBH//,2025-01-17 09:40:09.478930,2025-01-17 09:40:09.486270
parallel execute,A,6557,AAARpbAAAAAAiTCAAA,AAARpbAAAAAAiTzH//,2025-01-17 09:40:09.486426,2025-01-17 09:40:09.493383
parallel execute,A,6550,AAARpbAAAAAAiT0AAA,AAARpbAAAAAAiUlH//,2025-01-17 09:40:09.487027,2025-01-17 09:40:09.493926
parallel execute,A,6555,AAARpbAAAAAAiUmAAA,AAARpbAAAAAAiVXH//,2025-01-17 09:40:09.494078,2025-01-17 09:40:09.500915
parallel execute,A,6576,AAARpbAAAAAAiVYAAA,AAARpbAAAAAAiWJH//,2025-01-17 09:40:09.494606,2025-01-17 09:40:09.501835
parallel execute,A,6552,AAARpbAAAAAAiWKAAA,AAARpbAAAAAAiW7H//,2025-01-17 09:40:09.501616,2025-01-17 09:40:09.508562
parallel execute,A,6571,AAARpbAAAAAAiW8AAA,AAARpbAAAAAAiXtH//,2025-01-17 09:40:09.502465,2025-01-17 09:40:09.509526
parallel execute,A,6546,AAARpbAAAAAAiXuAAA,AAARpbAAAAAAiYfH//,2025-01-17 09:40:09.509246,2025-01-17 09:40:09.514273
parallel execute,A,6549,AAARpbAAAAAAiYgAAA,AAARpbAAAAAAiZRH//,2025-01-17 09:40:09.510198,2025-01-17 09:40:09.516370
parallel execute,A,6554,AAARpbAAAAAAiZSAAA,AAARpbAAAAAAiaDH//,2025-01-17 09:40:09.514936,2025-01-17 09:40:09.522254
parallel execute,A,6548,AAARpbAAAAAAiaEAAA,AAARpbAAAAAAia1H//,2025-01-17 09:40:09.517075,2025-01-17 09:40:09.523322
parallel execute,A,6558,AAARpbAAAAAAuLMAAA,AAARpbAAAAAAuL9H//,2025-01-17 09:40:09.523087,2025-01-17 09:40:09.528318
parallel execute,A,6563,AAARpbAAAAAAuL+AAA,AAARpbAAAAAAuMvH//,2025-01-17 09:40:09.523993,2025-01-17 09:40:09.530093
parallel execute,A,6558,AAARpbAAAAAAuMwAAA,AAARpbAAAAAAuNhH//,2025-01-17 09:40:09.529043,2025-01-17 09:40:09.535898
parallel execute,A,6558,AAARpbAAAAAAuNiAAA,AAARpbAAAAAAuOTH//,2025-01-17 09:40:09.530701,2025-01-17 09:40:09.537669
parallel execute,A,6561,AAARpbAAAAAAuOUAAA,AAARpbAAAAAAuPFH//,2025-01-17 09:40:09.536550,2025-01-17 09:40:09.543934
parallel execute,A,6555,AAARpbAAAAAAuPGAAA,AAARpbAAAAAAuP3H//,2025-01-17 09:40:09.538353,2025-01-17 09:40:09.544843
parallel execute,A,6564,AAARpbAAAAAAuP4AAA,AAARpbAAAAAAuQpH//,2025-01-17 09:40:09.544588,2025-01-17 09:40:09.550011
parallel execute,A,6547,AAARpbAAAAAAuQqAAA,AAARpbAAAAAAuRbH//,2025-01-17 09:40:09.545454,2025-01-17 09:40:09.552951
parallel execute,A,6538,AAARpbAAAAAAuRcAAA,AAARpbAAAAAAuSNH//,2025-01-17 09:40:09.550645,2025-01-17 09:40:09.557719
parallel execute,A,6557,AAARpbAAAAAAuSOAAA,AAARpbAAAAAAuS/H//,2025-01-17 09:40:09.553611,2025-01-17 09:40:09.560896
parallel execute,A,6554,AAARpbAAAAAAuTAAAA,AAARpbAAAAAAuTxH//,2025-01-17 09:40:09.558390,2025-01-17 09:40:09.565850
parallel execute,A,6560,AAARpbAAAAAAuTyAAA,AAARpbAAAAAAuUjH//,2025-01-17 09:40:09.561564,2025-01-17 09:40:09.568722
parallel execute,A,6537,AAARpbAAAAAAuUkAAA,AAARpbAAAAAAuVVH//,2025-01-17 09:40:09.566510,2025-01-17 09:40:09.574235
parallel execute,A,6552,AAARpbAAAAAAuVWAAA,AAARpbAAAAAAuWHH//,2025-01-17 09:40:09.569365,2025-01-17 09:40:09.577163
parallel execute,A,6568,AAARpbAAAAAAuWIAAA,AAARpbAAAAAAuW5H//,2025-01-17 09:40:09.574896,2025-01-17 09:40:09.581788
parallel execute,A,6555,AAARpbAAAAAAuW6AAA,AAARpbAAAAAAuXrH//,2025-01-17 09:40:09.577791,2025-01-17 09:40:09.584530
parallel execute,A,6559,AAARpbAAAAAAuXsAAA,AAARpbAAAAAAuYdH//,2025-01-17 09:40:09.582426,2025-01-17 09:40:09.590390
parallel execute,A,6562,AAARpbAAAAAAuYeAAA,AAARpbAAAAAAuZPH//,2025-01-17 09:40:09.585144,2025-01-17 09:40:09.592339
parallel execute,A,6551,AAARpbAAAAAAuZQAAA,AAARpbAAAAAAuaBH//,2025-01-17 09:40:09.591063,2025-01-17 09:40:09.599546
parallel execute,A,6555,AAARpbAAAAAAuaCAAA,AAARpbAAAAAAuazH//,2025-01-17 09:40:09.592999,2025-01-17 09:40:09.600537
parallel execute,A,6543,AAARpbAAAAAAua0AAA,AAARpbAAAAAAublH//,2025-01-17 09:40:09.600202,2025-01-17 09:40:09.607235
parallel execute,A,6548,AAARpbAAAAAAubmAAA,AAARpbAAAAAAucXH//,2025-01-17 09:40:09.601166,2025-01-17 09:40:09.607763
parallel execute,A,6542,AAARpbAAAAAAucYAAA,AAARpbAAAAAAudJH//,2025-01-17 09:40:09.607888,2025-01-17 09:40:09.614625
parallel execute,A,6557,AAARpbAAAAAAudKAAA,AAARpbAAAAAAud7H//,2025-01-17 09:40:09.608536,2025-01-17 09:40:09.615457
parallel execute,A,6549,AAARpbAAAAAAud8AAA,AAARpbAAAAAAuetH//,2025-01-17 09:40:09.615281,2025-01-17 09:40:09.621298
parallel execute,A,6562,AAARpbAAAAAAueuAAA,AAARpbAAAAAAuffH//,2025-01-17 09:40:09.616102,2025-01-17 09:40:09.622414
parallel execute,A,6562,AAARpbAAAAAAufgAAA,AAARpbAAAAAAugRH//,2025-01-17 09:40:09.621975,2025-01-17 09:40:09.628934
parallel execute,A,6533,AAARpbAAAAAAugSAAA,AAARpbAAAAAAuhDH//,2025-01-17 09:40:09.623074,2025-01-17 09:40:09.630218
parallel execute,A,6565,AAARpbAAAAAAuhEAAA,AAARpbAAAAAAuh1H//,2025-01-17 09:40:09.629587,2025-01-17 09:40:09.635368
parallel execute,A,6539,AAARpbAAAAAAuh2AAA,AAARpbAAAAAAuinH//,2025-01-17 09:40:09.630879,2025-01-17 09:40:09.638667
parallel execute,A,6552,AAARpbAAAAAAuioAAA,AAARpbAAAAAAujZH//,2025-01-17 09:40:09.636081,2025-01-17 09:40:09.643081
parallel execute,A,6550,AAARpbAAAAAAujaAAA,AAARpbAAAAAAukLH//,2025-01-17 09:40:09.639357,2025-01-17 09:40:09.647019
parallel execute,A,6545,AAARpbAAAAAAukMAAA,AAARpbAAAAAAuk9H//,2025-01-17 09:40:09.643762,2025-01-17 09:40:09.650834
parallel execute,A,6536,AAARpbAAAAAAuk+AAA,AAARpbAAAAAAulvH//,2025-01-17 09:40:09.647707,2025-01-17 09:40:09.654391
parallel execute,A,6558,AAARpbAAAAAAulwAAA,AAARpbAAAAAAumhH//,2025-01-17 09:40:09.651490,2025-01-17 09:40:09.658267
parallel execute,A,6530,AAARpbAAAAAAumiAAA,AAARpbAAAAAAunTH//,2025-01-17 09:40:09.655050,2025-01-17 09:40:09.660773
parallel execute,A,6554,AAARpbAAAAAAunUAAA,AAARpbAAAAAAuoFH//,2025-01-17 09:40:09.659022,2025-01-17 09:40:09.666456
parallel execute,A,6554,AAARpbAAAAAAuoGAAA,AAARpbAAAAAAuo3H//,2025-01-17 09:40:09.661420,2025-01-17 09:40:09.669657
parallel execute,A,6574,AAARpbAAAAAAuo4AAA,AAARpbAAAAAAuppH//,2025-01-17 09:40:09.667131,2025-01-17 09:40:09.674676
parallel execute,A,6545,AAARpbAAAAAAupqAAA,AAARpbAAAAAAuqbH//,2025-01-17 09:40:09.670339,2025-01-17 09:40:09.679658
parallel execute,A,6551,AAARpbAAAAAAuqcAAA,AAARpbAAAAAAurNH//,2025-01-17 09:40:09.675344,2025-01-17 09:40:09.683483
parallel execute,A,6564,AAARpbAAAAAAurOAAA,AAARpbAAAAAAur/H//,2025-01-17 09:40:09.680373,2025-01-17 09:40:09.687906
parallel execute,A,6548,AAARpbAAAAAAusAAAA,AAARpbAAAAAAusxH//,2025-01-17 09:40:09.684222,2025-01-17 09:40:09.691110
parallel execute,A,6543,AAARpbAAAAAAusyAAA,AAARpbAAAAAAutjH//,2025-01-17 09:40:09.688653,2025-01-17 09:40:09.695662
parallel execute,A,6557,AAARpbAAAAAAutkAAA,AAARpbAAAAAAuuVH//,2025-01-17 09:40:09.691785,2025-01-17 09:40:09.698313
parallel execute,A,6543,AAARpbAAAAAAuuWAAA,AAARpbAAAAAAuvHH//,2025-01-17 09:40:09.696394,2025-01-17 09:40:09.703755
parallel execute,A,6537,AAARpbAAAAAAuvIAAA,AAARpbAAAAAAuv5H//,2025-01-17 09:40:09.699026,2025-01-17 09:40:09.705111
parallel execute,A,6564,AAARpbAAAAAAuv6AAA,AAARpbAAAAAAuwrH//,2025-01-17 09:40:09.704540,2025-01-17 09:40:09.710604
parallel execute,A,6541,AAARpbAAAAAAuwsAAA,AAARpbAAAAAAuxdH//,2025-01-17 09:40:09.705773,2025-01-17 09:40:09.711915
parallel execute,A,6552,AAARpbAAAAAAuxeAAA,AAARpbAAAAAAuyPH//,2025-01-17 09:40:09.711331,2025-01-17 09:40:09.717935
