script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
parallel execute,H-1,3578,AAARnYAAAAAAf+CAAA,AAARnYAAAAAAf+fH//,2025-01-09 08:13:41.211825,2025-01-09 08:13:41.212960
parallel execute,H-2,6422,AAARnYAAAAAAb/QAAA,AAARnYAAAAAAf+BH//,2025-01-09 08:13:41.209105,2025-01-09 08:13:41.211522
parallel execute,H,,,,2025-01-09 08:13:41.201172,2025-01-09 08:13:44.231056
parallel execute,G-1,3593,AAARnXAAAAAAf86AAA,AAARnXAAAAAAf9XH//,2025-01-09 08:13:38.161564,2025-01-09 08:13:38.162693
parallel execute,G-2,6407,AAARnXAAAAAAb/IAAA,AAARnXAAAAAAf85H//,2025-01-09 08:13:38.158772,2025-01-09 08:13:38.161263
parallel execute,G,,,,2025-01-09 08:13:38.151134,2025-01-09 08:13:41.201115
parallel execute,F-1,3580,AAARnWAAAAAAf7yAAA,AAARnWAAAAAAf8PH//,2025-01-09 08:13:35.122177,2025-01-09 08:13:35.123317
parallel execute,F-2,6420,AAARnWAAAAAAb/AAAA,AAARnWAAAAAAf7xH//,2025-01-09 08:13:35.118772,2025-01-09 08:13:35.121849
parallel execute,F,,,,2025-01-09 08:13:35.111145,2025-01-09 08:13:38.151075
parallel execute,E-1,3567,AAARnVAAAAAAf6qAAA,AAARnVAAAAAAf7HH//,2025-01-09 08:13:32.092271,2025-01-09 08:13:32.093604
parallel execute,E-2,6433,AAARnVAAAAAAb+4AAA,AAARnVAAAAAAf6pH//,2025-01-09 08:13:32.089305,2025-01-09 08:13:32.091957
parallel execute,E,,,,2025-01-09 08:13:32.081152,2025-01-09 08:13:35.111088
parallel execute,D-1,3585,AAARnUAAAAAAcDiAAA,AAARnUAAAAAAcD/H//,2025-01-09 08:13:29.154278,2025-01-09 08:13:29.159232
parallel execute,D-2,6415,AAARnUAAAAAAb+wAAA,AAARnUAAAAAAcDhH//,2025-01-09 08:13:29.154210,2025-01-09 08:13:29.160468
parallel execute,D,,,,2025-01-09 08:13:29.041190,2025-01-09 08:13:32.081092
parallel execute,C-1,3577,AAARnTAAAAAAcCqAAA,AAARnTAAAAAAf3/H//,2025-01-09 08:13:26.001951,2025-01-09 08:13:26.003336
parallel execute,C-2,6423,AAARnTAAAAAAb+oAAA,AAARnTAAAAAAcCpH//,2025-01-09 08:13:25.999084,2025-01-09 08:13:26.001649
parallel execute,C,,,,2025-01-09 08:13:25.991154,2025-01-09 08:13:29.041126
parallel execute,B-1,3576,AAARnSAAAAAAf3SAAA,AAARnSAAAAAAf3vH//,2025-01-09 08:13:22.962086,2025-01-09 08:13:22.963308
parallel execute,B-2,6424,AAARnSAAAAAAb+IAAA,AAARnSAAAAAAf3RH//,2025-01-09 08:13:22.959064,2025-01-09 08:13:22.961755
parallel execute,B,,,,2025-01-09 08:13:22.951158,2025-01-09 08:13:25.991091
parallel execute,A-1,3570,AAARnRAAAAAAcECAAA,AAARnRAAAAAAf2nH//,2025-01-09 08:13:19.892738,2025-01-09 08:13:19.894213
parallel execute,A-2,6430,AAARnRAAAAAACfwAAA,AAARnRAAAAAAcEBH//,2025-01-09 08:13:19.889965,2025-01-09 08:13:19.892356
parallel execute,A,,,,2025-01-09 08:13:19.836660,2025-01-09 08:13:22.951088
parallel execute,ALL,,,,2025-01-09 08:13:19.836660,2025-01-09 08:13:44.231129
