script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
sequential,A,10000,,,2024-12-09 15:24:29.640276,2024-12-09 15:24:29.644514
sequential,B,10000,,,2024-12-09 15:24:29.644536,2024-12-09 15:24:29.649223
sequential,C,10000,,,2024-12-09 15:24:29.649241,2024-12-09 15:24:29.654249
sequential,D,10000,,,2024-12-09 15:24:29.654266,2024-12-09 15:24:29.658692
sequential,E,10000,,,2024-12-09 15:24:29.658708,2024-12-09 15:24:29.663402
sequential,F,10000,,,2024-12-09 15:24:29.663419,2024-12-09 15:24:29.668268
sequential,G,10000,,,2024-12-09 15:24:29.668284,2024-12-09 15:24:29.673107
sequential,H,10000,,,2024-12-09 15:24:29.673124,2024-12-09 15:24:29.677434
sequential,ALL,,,,2024-12-09 15:24:29.640276,2024-12-09 15:24:29.677460


