script,table_char,chunk_size,chunk_start,chunk_end,start_time,end_time
scheduler,H,10000,,,2025-01-06 17:15:38.670390,2025-01-06 17:15:38.706133
scheduler,G,10000,,,2025-01-06 17:15:38.648822,2025-01-06 17:15:38.669059
scheduler,F,10000,,,2025-01-06 17:15:38.676063,2025-01-06 17:15:38.709341
scheduler,E,10000,,,2025-01-06 17:15:38.663154,2025-01-06 17:15:38.698741
scheduler,D,10000,,,2025-01-06 17:15:38.647751,2025-01-06 17:15:38.662629
scheduler,C,10000,,,2025-01-06 17:15:38.669888,2025-01-06 17:15:38.708781
scheduler,B,10000,,,2025-01-06 17:15:38.655513,2025-01-06 17:15:38.691321
scheduler,A,10000,,,2025-01-06 17:15:38.455378,2025-01-06 17:15:38.460052
scheduler,ALL,,,,2025-01-06 17:15:38.455378,2025-01-06 17:15:38.709341

